MOF Name,Ref Code,Reference
BaAMP<|>Ba[HN(CH2PO3H)3],ECUGIU,10.1021/ic301192y
[Zn(μ-succinate)(μ-bpa)]·3H2O<|>compound 2,VIXTUT,10.1021/cg4009703
[Zn(μ-adipate)(μ-bpa)]·H2O<|>compound 5,VIXVUV,10.1021/cg4009703
[Cu4I6(H2b3pmdc)]<|>compound 2,BIFHEF,10.1021/cg3018858
[NH2(CH3)2][Sm(MDIP)(H2O)]<|>compound 3,RAVDAV,10.1021/cg201283a
[NH2(CH3)2][Yb(MDIP)(H2O)]·0.5NH(CH3)2<|>compound 10,RAVFIF,10.1021/cg201283a
[NH2(CH3)2][Tm(MDIP)(H2O)]·0.5NH(CH3)2<|>compound 9,RAVFEB,10.1021/cg201283a
[NH2(CH3)2][Eu(MDIP)(H2O)]<|>compound 4,RAVDEZ,10.1021/cg201283a
[NH2(CH3)2][Tb(MDIP)(H2O)]<|>compound 6,RAVDOJ,10.1021/cg201283a
[NH2(CH3)2][Dy(MDIP)(H2O)]<|>compound 7,RAVDUP,10.1021/cg201283a
[NH2(CH3)2][Er(MDIP)(H2O)]·0.5NH(CH3)2<|>compound 8,RAVFAX,10.1021/cg201283a
[NH2(CH3)2][Gd(MDIP)(H2O)]<|>compound 5,RAVDID,10.1021/cg201283a
[NH2(CH3)2][Pr(MDIP)(H2O)]<|>compound 1,RAVCOI,10.1021/cg201283a
[NH2(CH3)2][Nd(MDIP)(H2O)]<|>compound 2,RAVCUO,10.1021/cg201283a
ε(trim)<|>ε(trim) 4/3,IZOWAW,10.1021/ja201165c
ε2(trim)<|>ε2(trim) 2,IZOWEA,10.1021/ja201165c
Zn5(μ3-OH)2(BTA)2(tp)3<|>Complex 1<|>Compound 1,LISBIZ,10.1021/cg070356n
Zn(BTA)(chdc)0.5<|>Complex 2<|>Compound 2,LISBUL,10.1021/cg070356n
Zn(BTA)(ap)0.5<|>Complex 3<|>Compound 3,LISBEV,10.1021/cg070356n
Ga4(O3PC2H4PO3)3<|>compound 1,MESBAN,10.1021/ic010588q
[Mn6(pshz)6(bpea)2(dmf)2]·x(dmf)<|>2,XAKYUE,10.1021/ic0486872
[Mn6(ashz)6(bpea)2(dmf)2]·x(dep)·y(dmf)<|>10,XAKZOZ,10.1021/ic0486872
[Mn6(hshz)6(bpea)2(dmf)2]·x(dep)·y(dmf)<|>28,XALDEU,10.1021/ic0486872
[Mn6(hshz)6(bpea)2(dmf)2]·x(dpp)·y(dmf)<|>29,XALDIY,10.1021/ic0486872
[Mn6(pshz)6(bpea)2(dmf)2]·x(dbp)·y(dmf)<|>21,XALCAP,10.1021/ic0486872
[Pb(INO)2]·nH2O<|>compound 2,CEZZIR,10.1021/cg060535p
[Pb(INO)2]2·7H2O<|>compound 1,CEZZEN,10.1021/cg060535p
NU-503<|>NU-504,PALTON,10.1021/cg2011309
NU-501<|>NU-502,PALTIH,10.1021/cg2011309
Cd-L-TMA,RIWSUM,10.1021/cg7007232
Zn-L-TMA,RIWSOG,10.1021/cg7007232
{[Sr3(H2O)10][Ag6(mna)6]·12H2O}<|>compound 2,OLONAG,10.1021/acs.cgd.6b00463
[Cu­(H2O)]2{(UO2)4F2[(PO3C6H4)(C6H4PO3H)3]2(bipym)}·6H2O<|>compound 1,PODVUB,10.1021/ic500220d
[Cu­(H2O)]2{(UO2)4[(C6H4PO3)(C6H4PO3H)]4(bipym)}<|>compound 2,PODVIP,10.1021/ic500220d
MIL-141(Cs)<|>Fe(Ni-TCPP)Cs•(DMF),PAQTIM,10.1021/cm2025747
MIL-141(Rb)<|>Fe(Ni-TCPP)Rb•(DMF),PAQTOS,10.1021/cm2025747
MIL-141(K)<|>Fe(Ni-TCPP)K•(DMF),PAQVEK,10.1021/cm2025747
"Compound 1<|>Cd(ppene)(1,2-BDC)",IBOPOH,10.1021/acs.cgd.6b01728
"Compound 2<|>Cd(ppene)(1,3-BDC)",IBOPUN,10.1021/acs.cgd.6b01728
"Compound 4<|>Cd(ppene)(1,3,5-HBTC)",IBOQAU,10.1021/acs.cgd.6b01728
"Compound 1a<|>Cd2(4-tp-3-lad)(1,2-BDC)2",IBIXEZ,10.1021/acs.cgd.6b01728
"Compound 3a<|>Cd2(4-tp-3-lad)(1,4-BDC)2",IBIXID,10.1021/acs.cgd.6b01728
[Gd2Cu6(ipO)6(H2O)12]<|>3,NUNGEK,10.1021/acs.cgd.5b00327
[Mn3(LMe)2(DMF)4(H2O)]·1.5DMF·3.5H2O<|>complex 1,XOTSEG,10.1021/cg501425x
[Cd3(LMe)2(DMF)3][Cd3(LMe)2(DMF)2(H2O)]·5DMF·3.5H2O<|>complex 2,XOTSIK,10.1021/cg501425x
[Dy­(HL)­(H2O)2]·1.5H2O<|>complex 1,FAFHIG,10.1021/acs.cgd.5b01500
[Tb­(HL)­(H2O)2]·1.5H2O<|>complex 2,FAFHOM,10.1021/acs.cgd.5b01500
[Dy2(H2L)­(L)­(H2O)4]·1.5H2O<|>complex 3,FAFHUS,10.1021/acs.cgd.5b01500
[Tb2(H2L)­(L)­(H2O)4]·1.5H2O<|>complex 4,FAFJAA,10.1021/acs.cgd.5b01500
Zn2(Hpdc)2(btb)(H2O)2<|>complex 2,OHALAL,10.1021/cg900509r
Ni(Hpdc)(bth)<|>complex 4,OHALIT,10.1021/cg900509r
3[Ag2(o-C⋮CC6H4C⋮C)]·14AgCF3CO2·2CH3CN·9H2O<|>complex 3,MAYHAW,10.1021/ja054176i
[UO2(R-chdc)]<|>Complex1,TATROY,10.1021/acs.inorgchem.6b02537
1<|>compound 1,ASOYOY,10.1021/acs.inorgchem.6b00935
[(Cu5Cl6)2(Cu6Cl6)­(hmt)4]­(hmt-CH3)2(H2O)2<|>compound 2,IZETUE,10.1021/acs.cgd.6b01364
{Na2[Cd(odpa)(H2O)]}(n1)<|>compound 1,COMGIV,10.1021/cg8003257
{Na2[Cd3(odpa)2(H2O)5]·1.5H2O}(n3)<|>compound 3,COMGUH,10.1021/cg8003257
[Zn(TCNQ)(4-phenylpyridine)2],QUQQID,10.1021/cg100568a
[Zn(TCNQ)(bipy)],QUQPUO,10.1021/cg100568a
[Zn(TCNQ)(pyridine)2],QUQQAV,10.1021/cg100568a
"[Zn(TCNQ)(1,2-bis(4-pyridyl)ethene)]",QUQPOI,10.1021/cg100568a
Zn(pymtz)2<|>compound 1,DILDEI01,10.1021/cg9013398
{[Ni(TPPA)(trans-chdc)(H2O)]·(H2O)4}<|>compound 4,HEDTER,10.1021/cg300386p
C3N4-type framework of 3<|>compound 3,CUFFAL,10.1021/ja906302t
{[AgL3(CH3CN)]ClO4}<|>Complex 5,FAZQIH,10.1021/cg0499212
Sr[(HPAA)(H2O)3]·H2O<|>Sr−HPAA (3a),SOGXAO,10.1021/cm801004w
LiH(l-C4H4O6)<|>1,UNIROZ,10.1021/cg101170k
ZJU-18,MEFZUU,10.1021/ja303728c
ZJU-19,MEGBAD,10.1021/ja303728c
Compound 1<|>Cu(TMBD)0.5(H2TMBD)0.5·H2TMBD,OLIHIB,10.1021/ic101501p
"[Cu2(CO3)2(1,4-bix)3]·(1,4-bix)·10H2O<|>compound 8",EFULUN01,10.1021/cg701119g
"{[Cd2(4,4‘-pytz)3(μ-NO3)(NO3)3(MeOH)]}∞<|>1",MARKOF,10.1021/ja991698n
Tm4(BDC)6(H2O)2(DMF)2·2DMF·2H2O<|>complex 7,KINFAQ,10.1021/cg400531j
Er2(BDC)3(phen)2·3H2O<|>complex 3,KINDIW,10.1021/cg400531j
Tm2(TBDC)3(DMF)2(H2O)2·4H2O<|>complex 4,KINDOC,10.1021/cg400531j
Tm(BDC)1.5(H2O)·0.5DMF·C2H5OH·2H2O<|>complex 6,IJASES01,10.1021/cg400531j
Er2(BDC)3(DMF)2(H2O)2<|>complex 1,RESWUI02,10.1021/cg400531j
Cu·NDS·B3PVA<|>FNP1d,FIDFEG,10.1021/acs.cgd.7b01574
Zn6(IDC)4(OH)2(Hprz)2<|>1,WIJDAV,10.1021/ic7004908
C32H18O7N4U<|>compound 1,ASEBAD,10.1021/acs.cgd.6b00429
C60H30O20N6NaU2<|>compound 3,ASECUY,10.1021/acs.cgd.6b00429
[Ln2(μ4-pmdc)2(μ-pmdc)(H2O)2]·H2O<|>2-La<|>2-Ce<|>2-Pr<|>2-Nd<|>2-Sm<|>2-Eu<|>2-Gd<|>2-Tb<|>2-Dy<|>2-Ho<|>2-Er<|>2-Tm<|>2-Yb,WEHSUZ,10.1021/ic3009392
[Li2Zn2(NH2-bdc)3(bpy)]·DMF·CH3CN·3H2O<|>2-NH2,LAWFUN,10.1021/acs.inorgchem.6b02713
CaNa(PC)2(H2O)<|>CaNaPC,BUQCEV,10.1021/ja016384q
Zn-MOF<|>compound 2,DAKVOC,10.1021/cg200919m
Cu-MOF<|>compound 3,DAKVUI,10.1021/cg200919m
Cd-MOF<|>not provided,DAKVIW,10.1021/cg200919m
[Tb3(L)2(HCOO)­(H2O)5]·DMF·4H2O<|>compound 1,ALAHUS,10.1021/acs.inorgchem.5b02294
[(CH3)2NH2]4­[Zn2(L)]­·2DMF·6H2O<|>2,ULAQAB,10.1021/acs.cgd.6b00213
[(CH3)2NH2]4­[Co2(L)]­·2DMF­·4H2O<|>3,ULAQEF,10.1021/acs.cgd.6b00213
[Cd2(DDCBA)·DMA·H2O]·H2N(Me)2<|>compound 2<|>2,MULXUO,10.1021/acs.cgd.5b00997
[Zn2(d-cam)2(Lb)2]·(H2O)5<|>5,AHINIP,10.1021/ic802445q
[Zn3(hpc1)(BDC)2(HCO2)(OH)(H2O)]·DMF·EtOH·H2O<|>compound 2,QUSSII,10.1021/acs.inorgchem.5b00975
[Zn10(hpc1)4(BDC)7(HCO2)2(OH)4(EtOH)2]·3DMF·3H2O<|>compound 3,QUSSOO,10.1021/acs.inorgchem.5b00975
(μ4-Cu2I2)­(m-bis-L)<|>2,QAJFOZ,10.1021/acs.inorgchem.5b02314
CAU-10-OCH3<|>3,CELZIE,10.1021/cm3025445
[Zn(Me4BPZ)]<|>Species 1,HIQPII,10.1021/cg400495w
[Co(Me4BPZ)]<|>Species 2,HIQPEE,10.1021/cg400495w
{Co(hfipbb)(L1)0.5}(n1)<|>Compound 1,HEBGUS,10.1021/cg300800h
CALF-22,NIMXIS,10.1021/ic302127y
[NdCu(Hbic)2(C2O4)H2O]·2H2O<|>complex 1,QURYIM,10.1021/cg900571v
[TbAg(Hbic)2(C2O4)H2O]·2H2O<|>complex 3,QURYUY,10.1021/cg900571v
[SmCu(Hbic)3(C2O4)0.5]·H2O<|>complex 4,QURZAF,10.1021/cg900571v
K­[Cu­(LX)­OAr]<|>K­[Cu­(LX1)­OAr]<|>K­[Cu­(LX2)­OAr],HEQLOH,10.1021/jacs.7b11853
ZnBr2(BPU)<|>2,NEMJUL,10.1021/ic060958g
ZnI2(BPU)<|>3,NEMKAS,10.1021/ic060958g
MnAPO-LAU<|>MAPO-LAU (M = Mn),GOMREG,10.1021/ic801405e
CoAPO-LAU<|>MAPO-LAU (M = Co),YOMVIG,10.1021/ic801405e
ZnAPO-LAU<|>MAPO-LAU (M = Zn),GOMRAC,10.1021/ic801405e
compound 1<|>1<|>1′,KAXQIL,10.1021/cg300274n
COMOC-2(VIV)<|>COMOC-2,NIGBOW,10.1021/ic301338a
[Cd3(trz)2Cl(MeCN)]<|>3,AVESAW,10.1021/ic100610t
[Cd(trz)Cl]·H2O<|>1·H2O,AVEROJ,10.1021/ic100610t
MTAF-1<|>Porous Double-Walled Metal Triazolate Framework,BAWROI,10.1021/ic3002256
"α-Cd2(μ3-OH)2(2,4-pyda)<|>2",FODGUB02,10.1021/cg049610r
"β-Cd2(μ3-OH)2(2,4-pyda)<|>3",FODGUB01,10.1021/cg049610r
[Cu2(obb)2(bpy)0.5(DMF)]·2DMF<|>3,HEDCIE,10.1021/ic300778m
[Zn2(obb)2(DMF)2]·2DMF<|>1-Zn<|>1,HEDCAW,10.1021/ic300778m
[Zn2(obb)2(bpy)]·DMF<|>2,HEDCEA,10.1021/ic300778m
[SmNi(μ5-PyIDC)(μ2-INIC)(μ3-INIC)]·H2O<|>complex 2,PEKGIX,10.1021/cg301256g
[GdCd(μ5-PyIDC)(μ2-INIC)(μ3-INIC)]·3H2O<|>complex 7,PEKHIY,10.1021/cg301256g
[TbZn(μ5-PyIDC)(μ2-INIC)(μ3-INIC)]·3H2O<|>complex 10,PEKJAS,10.1021/cg301256g
[Co5(C6H(COO)5)2(H2O)12]·(H2O)12<|>3-Co,WIYZOU,10.1021/ic701893z
La(HL)(H2L)(H2O)<|>Complex 1,CIKHAH,10.1021/cg400877g
Tb(HL)(H2L)(H2O)<|>Complex 8,CIKFOT,10.1021/cg400877g
Pr(HL)(H2L)(H2O)<|>Complex 3,CIKGOU,10.1021/cg400877g
Gd(HL)(H2L)(H2O)<|>Complex 7,CIKFUZ,10.1021/cg400877g
Nd(HL)(H2L)(H2O)<|>Complex 4,CIKGIO,10.1021/cg400877g
Sm(HL)(H2L)(H2O)<|>Complex 5,CIKGEK,10.1021/cg400877g
Zn(mpdc)(bpea)<|>compound 2,KAXTEK,10.1021/cg201432w
{FeII[(HgII(SCN)3)2](bpeh)2}<|>1bpeh·H2O,QEQLAC,10.1021/acs.inorgchem.7b02906
{FeII[(HgII(SCN)3)2](tvp)2}<|>1tvp,QEQKIJ,10.1021/acs.inorgchem.7b02906
γ-Mg-formate<|>γ-[Mg3(O2CH)6],OTAXOX,10.1021/ic102057p
[Cu((S)-imp)2]∞<|>compound 2,WUWVIU,10.1021/cg1001368
[Nd(HMBA)3][Nd(NO3)6]·2CHCl3<|>compound 2,QAYTEP,10.1021/ic000673i
[Ag·5·CF3SO3]·2C6H6<|>complex 10,OBEDEE,10.1021/cm981153c
"[hydrotris(1,2,4-triazolyl)borato]silver(I)<|>Compound 1",TETPUD,10.1021/ja960530o
N(CH3)4CuZn(CN)4,KEGZOL03,10.1021/ja906895j
[{Ru(CN)4}2(μ-bpym)][Yb(H2O)6]0.5Yb(H2O)4<|>Ru2−Yb,SEHNEZ,10.1021/ic0521574
[{Ru(CN)4}2(μ-bpym)][Gd(H2O)6]0.5Gd(H2O)4<|>Ru2−Gd,SEHMUO,10.1021/ic0521574
[{Ru(CN)4}2(μ-bpym)][Eu(H2O)6]0.5Eu(H2O)4<|>Ru2−Eu,SEHNID,10.1021/ic0521574
[Ru(bpym)(CN)4]2[Yb(NO3)(H2O)2]Yb(NO3)0.5(H2O)5.5<|>Ru−Yb,SEHMIC,10.1021/ic0521574
[Ru(bpym)(CN)4]2[Er(NO3)(H2O)2]Er(NO3)0.5(H2O)5.5<|>Ru−Er,SEHMAU,10.1021/ic0521574
{Ag2(L)2(tp)]·2DMSO·6H2O}<|>compound 4,OKIRIK,10.1021/cg1008472
Ag(L)NO3<|>compound 1,OKIQUV,10.1021/cg1008472
MIL-79<|>Eu(III)5(OH)9(H2O)6(O2C−C2H2−CO2)3·9.5H2O,EBOJOV,10.1021/cm035045o
Sm(O3P-C2H4-SO3)(H2O)<|>compound 1,AMOROK,10.1021/ic101786r
Pr(O3P-C2H4-SO3)(H2O)<|>compound 2,AMORUQ,10.1021/ic101786r
[Ag3(pyz2SO)2(ClO4)3]∞(3)<|>3,NAFJAH,10.1021/ic901521j
Cu(pz)2(BF4)2<|>compound 2,YIGHIG,10.1021/ic0621392
ULM-16<|>Ga4(PO4)4F1.33(OH)0.67·1.5NC5H12·0.5H3O·0.5H2O,UGELIB,10.1021/cm011247d
Cu9(4-TBA)10(C2H5OH)2<|>Cu-TBA-1,OYIVEY,10.1021/cm2004352
Cu2(4-TBA)2(DMF)(C2H5OH)<|>Cu-TBA-2,OYIVIC,10.1021/cm2004352
Cu2(2-F-4-TBA)2(DMF)2<|>Cu-TBA-2F,OYIVOI,10.1021/cm2004352
[Cd(phen)(Hpppn)]·4H2O<|>compound 1<|>1,QARYUE,10.1021/cg0500829
(dmq)Cu2Br2<|>compound 1,NESPAC,10.1021/ic010280z
[Cu(C13H9N2O2)(F3CCO2)]<|>compound 1,OHOSEJ,10.1021/ic0206488
[Co5(μ3−OH)2(5-NH2-bdc)4(H2O)2]·7.5H2O<|>1,OGUPIQ,10.1021/cg9005696
[Co5(μ3−OH)2(5-NH2-bdc)4(bpy)0.5(H2O)]·3H2O<|>2,OGUPOW,10.1021/cg9005696
{SmAg(C14H12N2O13)}<|>Compound 4,HUTRIY,10.1021/ic901291b
{NdAg(C14H12N2O13)}<|>Compound 3,HUTREU,10.1021/ic901291b
{GdAg3(C14H6N2O11)}<|>Compound 6,HUTRUK,10.1021/ic901291b
{TmAg3(C14H6N2O11)}<|>Compound 9,HUTQET,10.1021/ic901291b
{DyAg3(C14H6N2O11)}<|>Compound 8,HUTQOD,10.1021/ic901291b
{TbAg3(C14H6N2O11)}<|>Compound 7,HUTSAR,10.1021/ic901291b
[Zn2(btec) (btzmb)]·8nnH2O<|>compound 1<|>1•S,ASUJIJ,10.1021/acs.inorgchem.6b00320
[Co3(bdc)3(dabco)]<|>1,GOBSUM,10.1021/ic800274w
1<|>compound 1,KEWXIV,10.1021/ic302411r
"[Zn2(OH)(btc)]2(4,4‘-bipy)<|>compound 1",ESEVIH,10.1021/cg034084+
{[Ag3L2(ClO4)2]ClO4}n<|>complex 1,YEPCUS,10.1021/cg0602111
{[Ag3L2(NO3)2]NO3}n<|>complex 2,YEPDAZ,10.1021/cg0602111
NTHU-2,ESIGES,10.1021/ja0390146
[BMIm]2­[Nb6Cl12­(NCS)6­{Cu­(CH3CN)}2]·​2CH3CN<|>compound 1,OROKEN,10.1021/acs.cgd.6b00225
{[Cd2(Py2TTz)2(BDC)2]·2­(DMF)}(n2)<|>compound 2,LIJHAQ,10.1021/acs.cgd.8b01335
[Cd(C4O4)(H2O)2]<|>complex 4,RAMSUT01,10.1021/ja800439p
[Cd(C4O4)(H2O)2]<|>complex 3,AFIPUB,10.1021/ja800439p
Zn(SO4)(BPU)(H2O)2.5<|>Compound 2,PEFHAK,10.1021/cg0505057
[Ag(SO3CH3)(BPU)2]<|>Compound 8,PEFJAM,10.1021/cg0505057
[Ag(NO3)(BCPU)]<|>Compound 7,PEFHUE,10.1021/cg0505057
Cd-BNN<|>CoCd-BNN,JENJEU,10.1021/acsami.7b12926
{[Ni­(BTC)0.66(BPz)2]­·2MeOH­·4H2O}<|>n1,LUKHOQ,10.1021/acs.cgd.5b00056
{[Mn­(BTC)0.66(BPz)2]­·2MeOH­·4H2O}<|>n3,LUKHIK,10.1021/acs.cgd.5b00056
Mu-21<|>zincophosphate Mu-21,BEJZAS,10.1021/cm021330g
Ca(BDC)(DMF)(H2O)<|>Ca-BDC-tric<|>NICS-8,SUCLOT,10.1021/cg501273b
{[Cd4(hbhdpy)2(bdc)3(DMA)2]·(H2O)4}<|>compound 1<|>1,ACURUO,10.1021/acsami.6b14051
[Co(bpdc)(Hpb)(H2O)]n<|>complex 2,JEXNOQ,10.1021/cg060369l
Cd5X2(N3)4(btz)2<|>2<|>3,ENEZON,10.1021/cg100467p
Co(pda)(bix)<|>compound 1,DAVXIJ,10.1021/cg201111r
Co(hfipbb)(bix)0.5<|>compound 5,DAVYEG,10.1021/cg201111r
{[Cd­(bpe)0.5(bdc)­(H2O)]·EtOH}(n1)<|>compound 1,ILIQEB,10.1021/acs.inorgchem.5b02873
{[Cd­(bpe)0.5(bdc)­(H2O)]·2H2O}(n2)<|>compound 2,ILIQIF,10.1021/acs.inorgchem.5b02873
Cu2I2(tppa)2<|>Cu2I2,EDATOV,10.1021/acs.chemmater.7b01790
[Cd7(L9)3(μ3-OH)2(L)2]·8H2O<|>compound 12,PUNFIO,10.1021/cg901332m
Sm2(bdc)2(ina)2(H2O)2Cu·ClO4<|>Compound 2,JIVSEN,10.1021/ic700893w
[Gd(C2O4)(H2O)3Cl]<|>complex 2<|>2,SOQVIF,10.1021/ic501013x
Cu(Pz)2(ClO4)2,CUPYZP02,10.1021/cm030049e
"{[Cd(NO3)2(2,4‘-pyphac)]}∞<|>complex 8",EHUHIY,10.1021/ja029048y
Cu3(MedeaH)2(oba)2(MeOH)2<|>compound 6,LAZSOW,10.1021/cg300434k
Cu3(MedeaH)2(oba)2(H2O)<|>compound 8,LAZSIQ,10.1021/cg300434k
Zn24<|>compound 1,YEZFIU,10.1021/ja3063138
Zn(hfipbb)·0.5H2O·0.5DMF<|>1a,PUQXUV,10.1021/cg901181x
Zn(hfipbb)·0.5H2O·0.5DMF<|>1b,PUQYAC,10.1021/cg901181x
C9H13AgO10U<|>Compound 3,GAPMUI,10.1021/acs.cgd.7b00081
C23.5H25.5N1.5O16.5U2<|>Compound 7,GAPNOD,10.1021/acs.cgd.7b00081
C36H22N4O10PbU<|>Compound 6,GAPNIX,10.1021/acs.cgd.7b00081
"[Ni3(OH)2(trans-1,4-chdc)2(H2O)4]·4H2O<|>compound 2",ECEZAO,10.1021/ic051633n
"[Ni(H2O)4(trans-1,4-chdc)]<|>compound 3",ECEZES,10.1021/ic051633n
NJU-Bai32,UDEGIW,10.1021/acs.cgd.6b01484
{[Cu2(BDDC)(H2O)2]·DMF·3H2O}n,RUVKAV,10.1021/cg100046j
Eu(HL)(H2O)(DEF),JAJKUD,10.1021/acs.cgd.6b01541
Tb(HL)(H2O)(DEF),JAJLAK,10.1021/acs.cgd.6b01541
Dy(HL)(H2O)(DEF),JAJLEO,10.1021/acs.cgd.6b01541
NH4@ZnPzC<|>NH4·Zn3OH­(PzC)3,YATDUV,10.1021/acs.cgd.7b00346
[Eu2L3(DMSO)2(MeOH)2]·2DMSO·3H2O<|>compound 1,NOFHOG,10.1021/ic800394g
[Zn2L2(DMSO)2]·1.6H2O<|>compound 2,NOFHUM,10.1021/ic800394g
[Hg(iimb)I2]·0.5acetone<|>complex 1,ODISEA,10.1021/cg060814c
[Hg(bib)I2]<|>complex 3,ODISOK,10.1021/cg060814c
[Hg3(tib)2I6]·2DMF<|>complex 4,ODISUQ,10.1021/cg060814c
[Cd(L1)(L5)]∞<|>4,MEFJUD,10.1021/cg050336q
Dimethyl(μ-cyclopentadienyl)-aluminum polymer,BEHBOF,10.1021/ic00131a092
Cu6(H2O)7(ClO4)3Cu(cyd)43<|>Compound 1,CURZEV,10.1021/cg9014465
compound 1<|>1,POZKUL,10.1021/ja809067t
RSMOF-1<|>[InC16H11N2O8]·1.5H2O,LOSXIC,10.1021/ja508592f
[Cd3(bta)2(bpy)2]·2H2O<|>complex 6,DOHBOS,10.1021/cg701137d
[Zn3(bta)2(dpe)2]·2H2O<|>complex 2,DOGZUV,10.1021/cg701137d
Co(II)-MOF<|>compound 1<|>1<|>1′,YUZRAO,10.1021/acs.inorgchem.5b01938
Co(II)-MOF<|>compound 2<|>2,YUZRIW,10.1021/acs.inorgchem.5b01938
Co(II)-MOF<|>compound 1′<|>1′,YUZRES,10.1021/acs.inorgchem.5b01938
[AgCl(NHC)]2–<|>3e,SIFVAG,10.1021/om400228s
Zn(CN)(NO3)(tpt)2/3<|>Zn(CN)(NO3)(tpt)2/3.cntdot.solv,YUVGOL,10.1021/ja00124a032
NJU-Bai11,XIBZUF,10.1021/cg400096e
Tm(HCOO)(L1)(dmf)<|>Complex 3,PAPVIN,10.1021/cg201210p
Er(HCOO)(L1)(dmf)<|>Complex 2,PAPVEJ,10.1021/cg201210p
"Cu(2,3-dmpz)Cl2<|>compound 4",GEDTOA,10.1021/ic3005147
Cu(qnx)Br2<|>compound 1,UMITEP01,10.1021/ic3005147
Cd–EDDA,JUVROJ,10.1021/acs.inorgchem.5b01758
Zn4OL3<|>2,LIHFAK,10.1021/ja0700395
{Co2(HCO2)3(L)2·2H2O}∞<|>compound 2,HUYXUV,10.1021/ic901564y
{Ni2(HCO2)3(L)2·2H2O}∞<|>compound 1,HUYXOP,10.1021/ic901564y
UMCM-151<|>[Cu2(C21H11O6)1.33],ANUGEW,10.1021/ja107423k
UMCM-152<|>[Cu2(C28H14O8)],ANUGIA,10.1021/ja107423k
UMCM-153<|>[Cu2(C28H14O8)],ANUGOG,10.1021/ja107423k
{[Zn4(4-bpdb)4(suc)3(OH)2]·5(H2O)}(n3)<|>compound 3,ZEKNUB,10.1021/acs.cgd.7b01270
{[Zn(4-bpdb)(fum)]·(H2O)2}(n4)<|>compound 4,ZEKNOV,10.1021/acs.cgd.7b01270
MOF-48,FARBIL,10.1021/ic201396m
[{(H2O)3(NO3)Cd(μ-3bpu)}·(NO3)·H2O·1/2o-xylene]<|>coordination polymer 2,LISDAT,10.1021/cg070301l
CP1<|>Cu2I2L2,KATFET,10.1021/acs.inorgchem.6b02571
Cu-3<|>Cu-3·MeCN,ECEVIS,10.1021/ic052123w
Zn2(pbc)2·H2teta·H2O<|>compound 2,XOJWOJ,10.1021/cg800374s
{[Cd(H2O)6]·[Dy2(ODA)6Cd2]·mH2O}<|>3a,KOMJED,10.1021/ic403080n
{[Cd(H2O)6]·[Er2(ODA)6Cd2]·mH2O}<|>3c,KOMJON,10.1021/ic403080n
{[Cd(H2O)6]·[Ho2(ODA)6Cd2]·mH2O}<|>3b,KOMJIH,10.1021/ic403080n
{[Cd(H2O)6]·[Tm2(ODA)6Cd2]·mH2O}<|>3d,KOLTUC,10.1021/ic403080n
{[Cd(H2O)6]·[Lu2(ODA)6Cd2]·mH2O}<|>3e,KOLVAK,10.1021/ic403080n
{[Cu4I4L2]·C6H6}<|>CP6,ZATNIU,10.1021/acs.inorgchem.7b00951
