MOF Name,Ref Code,Property,Value,Condition,Summary,Reference
{[Cd­(bpe)0.5(bdc)­(H2O)]·EtOH}(n1)<|>compound 1,ILIQEB,Water Stability,Stable,,"At 298 K, the water vapor adsorption profile of 1a shows a type I profile until P/P0 ∼ 0.45 with an uptake amount 65 mL/g (∼1.07 molecules/formula), and after that, it rises sharply to reach a final uptake amount of 292 mL/g (4.84 molecules/formula) (Figureb). The first step clearly indicates that the water molecule coordinates to the metal center, and this leads to transformation of the CdO5N → CdO6N core. In the second step, water molecules fill the pores and probably form hydrogen-bonded clusters. The desorption path clearly makes a hysteresis loop because of strong hydrogen bond association of the water molecules.",10.1021/acs.inorgchem.5b02873
{[Cd­(bpe)0.5(bdc)­(H2O)]·2H2O}(n2)<|>compound 2,ILIQIF,Water Stability,Stable,,"The water vapor adsorption profile of compound 2 shows a type I profile until P/P0 ∼ 0.45 with an uptake amount 65 mL/g (∼1.07 molecules/formula), and after that, it rises sharply to reach a final uptake amount of 292 mL/g (4.84 molecules/formula). The first step clearly indicates that the water molecule coordinates to the metal center, and this leads to transformation of the CdO5N → CdO6N core. In the second step, water molecules fill the pores and probably form hydrogen-bonded clusters. The desorption path clearly makes a hysteresis loop because of strong hydrogen bond association of the water molecules.",10.1021/acs.inorgchem.5b02873
NH4@ZnPzC<|>NH4·Zn3OH­(PzC)3,YATDUV,Water Stability,Unstable,,"However, they are sensitive to boiling water, as revealed by the new diffraction peaks in PXRD patterns (Figure S4in the Supporting Information).",10.1021/acs.cgd.7b00346
[Zn2L2(DMSO)2]·1.6H2O<|>compound 2,NOFHUM,Water Stability,Stable,,"Compound 2 is insoluble in common solvents, consistent with the extended network structures. The cocrystallized water molecules and the terminal DMSO ligands in 2 are tightly trapped by the interpenetrating 2D sheets and thus require higher temperature to escape the crystal lattice.",10.1021/ic800394g
[AgCl(NHC)]2–<|>3e,SIFVAG,Water Stability,Unstable,,"1. ""The hydrolytic stability of the NHC silver complexes merits a comment. Bis(carbene) complexes 2b–e were found to be indefinitely stable in air in the solid state, whereas mono(carbenes) 3a–e were extensively hydrolyzed under the same conditions and had to be stored under an inert atmosphere.""
2. ""The stability in solution is, however, more complex to describe because it depends on numerous factors, some of which are discussed below. Bis(carbenes) 2b–e again showed significant hydrolytic stability in pure water, and their aqueous solutions did not show any noticeable degradation (as evidenced by 1H NMR spectroscopy) when heated for hours or even days at 90 °C.""
3. ""Any analysis of the hydrolytic stability of mono(carbene) complexes 3 is necessarily complicated by the fact discussed above, namely, that they evolve to the corresponding bis(carbenes) in water. Nevertheless, the behavior of complex 3a was unique because it was completely hydrolyzed in water instead of evolving to the corresponding bis(carbene).""",10.1021/om400228s
Cd–EDDA,JUVROJ,Water Stability,Unstable,,After immersion in water the PXRD showed a shift in the peaks. This indicates some changes to the crystals,10.1021/acs.inorgchem.5b01758
{[Zn4(4-bpdb)4(suc)3(OH)2]·5(H2O)}(n3)<|>compound 3,ZEKNUB,Water Stability,Unstable,,"After immersion of 3′ in water as well as in a water–methanol mixture, there is a formation of compound 3″, whose PXRD pattern is similar to that of the major peak found for the simulated pattern of 3 (Figure). That is on rehydration of 3′ it again was restored to its original phase. There is an additional peak at 2θ = 7.2° for both the water as well as water–methanol mixture immersed product, which is possibly due to unorganized crystal packing.",10.1021/acs.cgd.7b01270
{[Zn(4-bpdb)(fum)]·(H2O)2}(n4)<|>compound 4,ZEKNOV,Water Stability,Unstable,,After immersion in water the PXRD showed a shift in the peaks. This indicates some changes to the crystals.,10.1021/acs.cgd.7b01270
Cu-3<|>Cu-3·MeCN,ECEVIS,Water Stability,Stable,,"The structures of Cu-3 and Cu-4 appear to be very hydrophobic because there is no evidence from TGA that they absorb water from solvents or the atmosphere. Furthermore, Cu-3 is water-stable, without any noticeable decomposition after refluxing overnight in D2O. Unlike most other microporous solids, which either are unstable in water or have hydrophilic channels that adsorb water (e.g., zeolites), the properties of Cu-3 present an opportunity to observe guest uptake in water.",10.1021/ic052123w
{[Zn3(L)2(OH)2]·8(EtOH)·4(DMF)}(n1)<|>complex 1,HIFGIO,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/cg400376g
[Cd4(pc1)3Cl6]·CdCl4·guest<|>compound 1<|>1,EXEMUR,Water Stability,Stable,,"The solid readily adsorbs CH3OH, H2O, and CO2 at 298 K. The fully reversible character of the adsorption–desorption process for all molecules suggests that only physisorption occurs in 1 under these conditions. We have first shown that H2O or CH3OH can be reversibly adsorbed, filling the channels with maximum uptake values at 298 K of 5.33 and 3.16 mmol/g, respectively. The observed shape of the adsorption isotherms is shown to be due to a moderate interaction strength between the guest molecules and walls of the channels.",10.1021/acs.inorgchem.6b01119
[Co(C14N4H14)1.5(NO3)2(CH2Cl2)2]n<|>compound 4,XIBCIU,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/ic0014336
{[Ag(l-acmet)]} n (1)<|>compound 1,DAPJUB,Water Stability,Stable,,"1. ""The light stability and water solubility of silver(I) acetylmethioninates 1 and 2 in the solid state and in aqueous solution are more remarkable than those of silver(I) methioninate (3), silver(I) S-methyl-l-cysteinate (4), and silver(I) l-cysteinate (5).""
2. ""No color change was observed for about 1 month in the solid state nor in an aqueous solution. Solubility in water at room temperature was approximately 50 mg mL–1.""",10.1021/ic201950p
{[Ag2(d-met)(l-met)]·6H2O} n (3)<|>compound 3,DAPKAI,Water Stability,Unstable,,"1. The powder was soluble in water but insoluble in most organic solvents. 2. Although the powder was soluble in water, the crystals were sparingly soluble in water and insoluble in common organic solvents.",10.1021/ic201950p
{[Ag(l-mecys)]} n (4)<|>compound 4,DAPKEM,Water Stability,Unstable,,"Water-soluble powder and crystals of silver(I) dl-methioninate 3 and silver(I) S-methyl-l-cysteinate 4 were also prepared from reactions of Ag2O with dl-Hmet and l-Hmecys, respectively. The light stability and water solubility of silver(I) acetylmethioninates 1 and 2 in the solid state and in aqueous solution are more remarkable than those of silver(I) methioninate (3), silver(I) S-methyl-l-cysteinate (4), and silver(I) l-cysteinate (5).",10.1021/ic201950p
{Zn(pyeb)2(H2O)}<|>compound 1<|>1,UVARIT,Water Stability,Stable,,The complex is stable in air and insoluble in common organic solvents as well as water.,10.1021/cg101731j
Fe-soc-MOF-1a<|>compound 1a,IZENUY,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/acs.chemmater.6b02817
{[Ni2(DBIBA)3]·(BF4)·6H2O}<|>compound 1<|>1,YOYPEJ,Water Stability,Stable,,"All compounds are found to be air-stable and insoluble in water as well as common organic solvents. Immersion of a crystal of the parent Ni(II) complex in a 3 M aqueous solution of NaBF4 for 7 days at 298 K led to complete replacement of Cl– by the BF4– anion, giving complex 1 without losing its morphology and crystallinity. To investigate the reversibility of the anion exchange process, the exchanged crystal 1 was dipped in a 3 M aqueous solution of NaCl at room temperature for 4 days; because of the smaller size of the chloride, the anion exchange rate was faster. Crystal quality was intact, with absolutely no effect on crystal color, shape, and its size, and it had the same cell parameters like the Ni(II) parent crystal. Elemental analysis, PXRD (Figure S24), and the IR spectrum (Figure S25) (Supporting Information) also support that it is a completely reversible process. In the IR spectrum, there is no peak due to BF4– and it has completely disappeared.",10.1021/cg501279y
{[Ni2(DBIBA)3]·(ClO4)·3H2O}<|>compound 2<|>2,YOYNUX,Water Stability,Stable,,"All compounds are found to be air-stable and insoluble in water as well as common organic solvents. To check the reversibility of the anion exchange process, the exchanged crystals 2 and 3 were dipped in an aqueous solution of NaCl to regenerate the parent Ni(II) complex. Crystal quality was utterly maintained. Further elemental analysis, PXRD (Figure S24), and IR spectra (Figures S28 and S29, Supporting Information) of regenerated compounds were identical to those of the parent Ni(II) crystal.",10.1021/cg501279y
{[Co2(DBIBA)3]·(ClO4)·3H2O}<|>compound 5<|>5,YOYPIN,Water Stability,Stable,,"The MOF is insoluble in water and common organic solvents. It shows reversible SC-SC transformation when immersed in water, maintaining crystal quality and cell parameters. ""All compounds are found to be air-stable and insoluble in water as well as common organic solvents."" ""To investigate the reversibility of the solvent exchange processes, all of these three 7–9 complexes were submerged in water. After 4 days, all crystals were diffracted, achieving identical cell parameters like the mother crystal."" ""This exchange was also found to be reversible when 5 was immersed in an aqueous solution of NaCl. Cell parameters were identical with those of the parent Co(II) complex; further confirmation was done through the IR spectrum, where ClO4– stretching disappeared.""",10.1021/cg501279y
{[Co2(DBIBA)3]·(NO3)·3H2O}<|>compound 6<|>6,YOYPOT,Water Stability,Stable,,All compounds are found to be air-stable and insoluble in water as well as common organic solvents. The crystals were repeatedly washed with ethanol and air-dried.,10.1021/cg501279y
{[Co2(DBIBA)3]·Cl·3C2H5OH}<|>compound 7<|>7,YOYPUZ,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents. It has a very unique shape and an interesting geometry...,10.1021/cg501279y
{[Co2(DBIBA)3]·Cl·3DMF}<|>compound 8<|>8,YOYQAG,Water Stability,Stable,,"All compounds are found to be air-stable and insoluble in water as well as common organic solvents. In contrast, the water molecules in the parent Co(II) compound can be replaced in a SC-SC fashion by ethanol, DMF, as well as acetone when a parent crystal is poured in any of these solvents for 4 days at room temperature. To investigate the reversibility of the solvent exchange processes, all of these three 7–9 complexes were submerged in water. After 4 days, all crystals were diffracted, achieving identical cell parameters like the mother crystal. Elemental analysis, PXRD (Figure S36), and IR studies (Figures S37–S39) (Supporting Information) further confirmed that this is a reversible reaction.",10.1021/cg501279y
{[Mn2(DBIBA)3]·Cl·3DMF·3H2O}<|>compound 10<|>10,YOYQIO,Water Stability,Stable,,"All compounds are found to be air-stable and insoluble in water as well as common organic solvents. Unlike other cases, this transformation is irreversible, which is confirmed when solvent-exchanged complex 10 was poured in water for 4 days. IR peaks due to DMF and water molecules were still present, and the IR was identical with the IR of complex 10 (Figure S10). Framework integrity was confirmed through PXRD measurement (Figure S40, Supporting Information). During all these transformations, there is absolutely no change in shape, size, and color of the crystal. The guest exchange phenomenon shows insolubility and stability of porous coordination polymers.",10.1021/cg501279y
[{Zn4(μ3-OH)2(rctt-tpcb)(suc)3}·2CH3OH·4H2O]<|>compound 2IR,PUMCEI,Water Stability,Stable,,"Even after exposure to water vapor for 15 days, the structure of the rehydrated samples remained intact, as evidenced by the PXRD patterns. This suggested that the framework is stable in the presence of water vapor.",10.1021/acs.inorgchem.0c00932
MIL-140C<|>MIL-140C_0<|>MIL-140C_0.1<|>MIL-140C_0.5<|>MIL-140C_1,ZOGROF,Water Stability,Stable,,"Knowing that MIL-140C is among the most stable Zr-based MOFs, the stability of the series toward water was evaluated. The stability was finally evaluated after suspending the solids in water (1 mg.mL–1) for 1 week. Even under boiling conditions, no change was noticed on the powder XRD pattern of MIL-140C_0.1 (Figured), confirming the high stability of the BP­(OH)2DC-poor solids.",10.1021/acs.inorgchem.9b00388
{Nd(ptaH)1/2ox)·6H2O}(n1)<|>Compound 1,EBAMUQ,Water Stability,Unstable,,"The loss of water from the lattice leads to breakdown of the 3D structure, which is in support of the thermal analysis results.",10.1021/ic0495618
[Gd(azdc)(HCOO)]<|>1,CUHYUB,Water Stability,Stable,,"When 1 was soaked in common solvents, such as H2O, CH3OH, CH3CH2OH, CH3CN, CH2Cl2, acetone, DMF, DMA, dimethyl sulfoxide, tetrahydrofuran, n-hexane, and 1,4-dioxane for 1 week, all of the PXRD patterns were consistent with the simulated one, suggesting that 1 possesses excellent chemical stability in these solvents. For evaluation of the acid–base resistance property of 1, the crystal samples of 1 were immersed in the aqueous solutions ranging from pH = 1 to 13 for 1 week, respectively; the results demonstrated that the framework of 1 can be maintained in pH = 2–12 aqueous solutions for 1 week. In order to further verify the stabilities of 1, we took four representative solutions after immersion of 1 for 1 week (H2O, CH3OH, pH = 2 and 12 aqueous solutions) to detect the amount of GdIII ions in the above filtered solutions by an ICP instrument, and the experimental results indicated that the content of GdIII ions in these solutions was very small and could be ignored.",10.1021/acs.inorgchem.5b00797
[Tb(azdc)(HCOO)]<|>2,CUJCIV,Water Stability,Stable,,"When 1 was soaked in common solvents, such as H2O, CH3OH, CH3CH2OH, CH3CN, CH2Cl2, acetone, DMF, DMA, dimethyl sulfoxide, tetrahydrofuran, n-hexane, and 1,4-dioxane for 1 week, all of the PXRD patterns were consistent with the simulated one, suggesting that 1 possesses excellent chemical stability in these solvents (Figure a).",10.1021/acs.inorgchem.5b00797
{[Ni2(L)­(bmp)2­(H2O)]·7H2O}<|>complex 4,SUTJIC,Water Stability,Stable,,"What's particularly attractive is that 7 conveys preeminent chemical resistance to those solvents mentioned above except for boiling methanol. The outstanding chemical resistance of 7 in refluxing water as well as ecumenical organic solvents is passably assigned to the existence of a two-dimensional bilayer, which could be in favor of the stability of the skeletons.",10.1021/acs.cgd.5b00757
{[Ni­(L)0.5­(pbib)1.5]·2H2O}<|>complex 5,SUTJAU,Water Stability,Stable,,"5 is superior to 3 for it could preserve its original shape in N,N′-dimethylformamide, acetonitrile, and water. X-ray diffraction indicated that their unit-cell parameters well-nigh did not change. Perceptibly, their primal frameworks were integrated and unbroken. The outstanding chemical resistance of 7 in refluxing water as well as ecumenical organic solvents is passably assigned to the existence of a two-dimensional bilayer, which could be in favor of the stability of the skeletons.",10.1021/acs.cgd.5b00757
MIL-91(Al)<|>AlOH(H2L)·nH2O,IVEQEG,Water Stability,Stable,,"The structure of MIL-91(Al) retains its properties and crystallinity after exposure to water. The document states: ""This can be rehydrated upon standing in moist air to give the original phase."" This indicates that the MOF can regain its original structure after water exposure, demonstrating stability.",10.1021/cm052149l
[In2(OH)2(TBAPy)]·(guests)<|>1<|>1′<|>1a,XAJQAC,Water Stability,Unstable,,"1. ""When desolvated 1′ is exposed to the atmosphere, the partially rehydrated phase 1a, [In2(OH)2(TBAPy)]·1.6H2O, results due to the absorbance of moisture from the laboratory atmosphere. 1a is found to be slightly less crystalline than 1′; there are shifts in the peak positions, and some of the lower angle peaks are split with Le Bail profile fitting possible with the cell a= 15.315(5)Å, b= 16.355(3)Å, c= 15.998(3)Å, α = β = γ = 90°, and Pmmm (Figure S7)."" 2. ""If, however, 1′ is immersed in water for 30 min, the fully rehydrated material [In2(OH)2(TBAPy)]·5.9H2O may be prepared with a much higher water loading. The PXRD of fully rehydrated 1 clearly shows a significant loss of crystallinity compared to both 1′ and 1a (Figure S8), suggesting that increased amounts of water in the porous network lead to significant structural disorder and distortion, with reduction in crystallinity due to the accompanying strain.""",10.1021/ja906041f
[Tb(HL)(H2O)3]·H2O<|>compound 1,SERTAN,Water Stability,Stable,,"The grounded powder samples of 1 (40 mg) were immersed in 40 mL purified water and ultrasonicated for 30 min, and then allowed to stand overnight to form a stable suspensions for fluorescence study. Under ultraviolet light, the suspension showed visible green emission. The fluorescence emission of the suspension was measured and exhibited very similar luminescence characteristic to 1 in the solid state, which suggests 1 has good water stability.",10.1021/acs.cgd.7b01565
Ba3[(VO)2(C2O4)5(H2O)4]·(H2O)2<|>Compound 2,YOTSAD,Water Stability,Unstable,,"Ba3[(VO)2(C2O4)5­(H2O)4]­·(H2O)2, 2, was obtained by heating crystals of1at 50 °C for 12 h under flowing nitrogen or by exposing1to a dynamic vacuum for 12 h. The product was stored in sealed containers, as exposure to air will result in rehydration and conversion of2back to1.",10.1021/cg500888u
2[C3H7NH3]+[Zn2(C2O4)3]2-·3H2O<|>II,SEYQIW,Water Stability,Unstable,,"Unlike I, II loses crystallinity on desorption of water, indicating that the hydrogen-bond interactions between the water and the framework is crucial for the structural stability of this material. It is possible that such hydrogen bonding is responsible for the 20-membered aperture in II.",10.1021/cm990434x
Cu2[(O3PC4H8PO3)(H2O)2]·2H2O<|>compound 1,AHOKIR,Water Stability,Unstable,,After immersion in water the PXRD showed a shift in the peaks. This indicates some changes to the crystals. Even contact with the water for 24 h does not restore the original crystalline compound.,10.1021/cm010651+
Cu2[(O3PC5H10PO3)(H2O)2]·2.8H2O<|>compound 2,AHOKOX,Water Stability,Unstable,,"1. ""Compound2 behaves in an almost identical fashion."" (referring to the irreversible loss of crystallinity after dehydration and inability to rehydrate)
2. ""The IR spectrum of compound2 heated at 205 °C for 2 h, soaked in water overnight, and rinsed with acetone to remove surface water showed that rehydration did not take place under these conditions.""",10.1021/cm010651+
[CuCl2(4bpytm)]·2dmso<|>4.dmso,UMUYIL,Water Stability,Unstable,,"Water was incorporated into the pores, giving the green solid 4dmso·11H2O immediately, after leaving 4.dmso for 30 min in a suspension in water at room temperature. The water content was estimated by TGA and was confirmed by elemental analysis and IR.",10.1021/cg1004566
K2Sn2(bdc)3<|>compound 3,CUZJIR,Water Stability,Unstable,,Crystals of 3 converted to Sn3(OH)2(bdc)2 after immersion in water at room temperature for several days.,10.1021/cg100049s
Rb2Sn2(bdc)3<|>compound 4,CUZJOX,Water Stability,Unstable,,The low alkali metal contents are due to the sensitivity of the compounds to water. Hydrolysis leads to decomposition at the crystal surfaces and reduction of the alkali metal content. This was confirmed by the observation that crystals of 3 converted to Sn3(OH)2(bdc)2 after immersion in water at room temperature for several days.,10.1021/cg100049s
{[Cd­(azbpy)­(msuc)]·2.5­(H2O)}(n2)<|>compound 2,TELTOW,Water Stability,Stable,,"1. ""All the compounds were found to be stable and retain their framework stability after different solvent (i.e., H2O and dry EtOH) sorption measurements (Figure S8).""
2. ""It shows type-IV H2O adsorption isotherms up to 170 cc/g at P/Po= 0.9 accompanied by a desorption isotherm with a large hysteresis and incomplete branch signifying the strong interaction of the H2O molecule with the polar framework (Figure).""",10.1021/acs.inorgchem.7b02435
